"SITE","can500","imp500","X","Y","lc21","lc22","lc23","lc24","lc.forest","lc.ag"
"JORABONVA1",20.834379,27.996236,313826,4307339,0.254004576659039,0.560640732265446,0.097254004576659,0.0137299771167048,0.0720823798627002,0.0022883295194508
"KAMILEIVA1",19.027603,26.401506,314592,4303323,0.280641466208477,0.415807560137457,0.13745704467354,0.0274914089347079,0.123711340206186,0.00801832760595647
"KESTSABDC1",19.732748,43.426601,322541,4310202,0.105625717566016,0.12743972445465,0.355912743972445,0.16532721010333,0.146957520091848,0.0229621125143513
"KEYESUSMD1",19.621078,1.242158,300396,4329334,0.125143513203215,0.0137772675086108,0,0,0.218140068886338,0.639494833524684
"KINDFAPMD1",9.754077,3.70138,362655,4328893,0.0838117106773823,0.0838117106773823,0.00574052812858783,0.00114810562571757,0.095292766934558,0.660160734787601
"KNIGSALVA1",70.096611,0,297302,4250319,0,0,0,0,0.871681415929204,0.128318584070796
"KORRHARMD1",27.567127,20.450439,349757,4348779,0.342135476463835,0.350172215843858,0.0987370838117107,0.0068886337543054,0.117106773823192,0.0826636050516648
"KOSLDREMD1",27.76366,7.028339,371360,4310630,0.228310502283105,0.124429223744292,0.00570776255707763,0,0.243150684931507,0.166666666666667
"LAFMELVA1",12.396487,30.260978,312830,4307425,0.254004576659039,0.556064073226545,0.133867276887872,0.0125858123569794,0.0354691075514874,0.0080091533180778
"LANDCELVA1",27.065244,21.98118,305618,4306085,0.287026406429391,0.381171067738232,0.087256027554535,0.0183696900114811,0.185993111366246,0.0401836969001148
"LANGANKVA1",57.528232,3.037641,300710,4312145,0.207093821510297,0.0434782608695652,0,0,0.604118993135011,0.145308924485126
"LERNJEFMD1",36.430362,25.668758,325117,4316649,0.21395881006865,0.31350114416476,0.183066361556064,0.017162471395881,0.203661327231121,0.0183066361556064
"LIEBJUDMD1",41.289836,14.547051,317662,4314154,0.407534246575342,0.223744292237443,0.0376712328767123,0.0171232876712329,0.230593607305936,0.0410958904109589
"LINDHANMD1",38.766624,10.682559,319424,4316589,0.345977011494253,0.213793103448276,0.0275862068965517,0,0.177011494252874,0.0988505747126437
"LLEISUSDC1",5.821831,68.723968,322943,4310169,0.0389908256880734,0.0688073394495413,0.464449541284404,0.354357798165138,0.0355504587155963,0
"LORAJORMD1",49.51192,10.190714,362920,4359970,0.315366972477064,0.238532110091743,0.00917431192660551,0,0.402522935779817,0.0286697247706422
"LUCIDANMD1",26.323101,11.381259,369273,4317037,0.148741418764302,0.130434782608696,0.0560640732265446,0.0068649885583524,0.12929061784897,0.0011441647597254
"LYONLYNVA1",23.439146,20.267251,289140,4298888,0.20137299771167,0.448512585812357,0.0446224256292906,0.0011441647597254,0.216247139588101,0.074370709382151
"MAHOJIMMD1",55.978946,0.95921,366283,4294677,0.0663615560640732,0.0251716247139588,0,0,0.550343249427918,0.118993135011442
"MALLSTEMD1",43.973724,6.230293,315995,4312660,0.165903890160183,0.0938215102974828,0.0080091533180778,0,0.327231121281465,0.0469107551487414
"MANNJANDC1",40.105396,12.262233,321757,4315741,0.371986222732491,0.227324913892078,0.0241102181400689,0,0.167623421354765,0.0677382319173364
"MARRPETMD1",28.89335,26.225847,326313,4315545,0.269714285714286,0.450285714285714,0.130285714285714,0.008,0.125714285714286,0.0125714285714286
"MARRPETMD2",36.136764,20.801755,326497,4315867,0.307428571428571,0.437714285714286,0.0514285714285714,0.0102857142857143,0.181714285714286,0.008
"MAZUJENMD1",38.247177,1.628607,326871,4335359,0.0936073059360731,0.0136986301369863,0.00799086757990868,0,0.384703196347032,0.494292237442922
"MCCAKEVMD1",24.63739,13.904642,337303,4341502,0.320733104238259,0.324169530355097,0.0126002290950745,0,0.142038946162657,0.200458190148912
"MCCOCHRMD1",0,0.003764,323067,4357548,0.00114810562571757,0,0,0,0,0.997703788748565
"MCCOJOHMD1",15.504391,1.043914,333537,4337917,0.0253456221198157,0.0264976958525346,0,0,0.118663594470046,0.78110599078341
"MCDOELIVA1",12.792973,37.007526,319463,4295856,0.135011441647597,0.449656750572082,0.248283752860412,0.0480549199084668,0.0778032036613272,0.0411899313501144
"MCKEANNVA1",53.430362,9.092847,320433,4292286,0.151376146788991,0.244266055045872,0.00229357798165138,0,0.589449541284404,0.0126146788990826
"MCKEJANMD1",13.228356,0.030112,327410,4351535,0.0022883295194508,0,0,0,0.0812356979405034,0.847826086956522
"MCLERICMD1",30.913425,0,346855,4397170,0,0,0,0,0.233333333333333,0.766666666666667
"MCNAKRIMD1",36.132999,15.664993,318162,4314273,0.534936998854525,0.310423825887743,0.0148911798396334,0,0.0962199312714777,0.0194730813287514
"MEGOPATMD1",29.509325,6.09756,353974,4289643,0.219288174512055,0.112514351320321,0,0,0.219288174512055,0.148105625717566
"MEGOPATMD2",53.875785,0.624843,356057,4289950,0.0218140068886338,0.0172215843857635,0,0,0.622273249138921,0.274397244546498
